IDNum,IDType,FirstName,LastName,ResultDate,BirthDate,LabCode,StickerNumber,AntiDotes,KitNumber
599945168,2,Christoffer,King,27/06/2021,24.12.2008,71WM4,04c47b67-7edc-401e-9328-def24b326c7a,3177,16
321014203,2,Cary,Francois,03/06/2021,19.09.2020,67BX4,7c2439a1-389b-4c4b-93e8-a509b2ddb047,252,17
368722012,2,Berkie,Dmitrievski,04/01/2021,13.03.1961,53FS1,ace6c6bd-205e-4e54-90a8-7c7cc954d7d6,1855,17
786496329,1,Jehu,Keizman,12/08/2021,26.02.1986,36XW3,37cd9a4c-3009-4708-b1db-7ba560b322f3,2796,16
701283240,1,Flss,Seivwright,01/07/2020,15.04.1991,27JO6,1eb94fa5-0f82-4b15-a476-13a52be38f1d,1117,15
389818633,0,Beatrice,Pettie,07/01/2021,23.07.1992,16OU1,9986ffcb-80fc-49c1-b6f7-4252bab6effb,257,17
407470805,0,Poppy,Sarsons,17/12/2019,27.08.1987,72TX4,eeadcfd8-8530-44ba-8a29-60b839154a4d,836,16
229318411,2,Rustie,Crossdale,18/11/2019,08.02.2005,11IR3,d857a630-904b-4602-96c3-95880160825e,2692,15
632011204,0,Mano,Cavanaugh,18/03/2020,12.04.1957,15JJ2,15f0981d-6c1d-4e6c-baef-aa1a8e82c15e,298,17
640979853,0,Brander,De Carlo,15/03/2021,19.04.2012,89OK3,b669d6c1-3df0-4adb-ae76-1c1fcb1644a4,1823,16
333443674,2,Heida,Stairmond,08/05/2020,07.05.1960,72IW5,6f01f2b7-9b84-492b-a445-6053a3ebbcf2,387,15
267149054,2,Wheeler,Walby,12/04/2020,12.09.1964,78GH9,7831ac22-3141-4786-85b3-625da2dc174f,3984,15
469963469,0,Kakalina,David,08/09/2021,14.12.1990,83CV7,5ef7d7e9-e727-4f3f-ba17-ee30fb15abb8,2801,16
365943008,1,Ola,Ridder,19/12/2020,13.04.1966,16PB4,ccfff795-7db3-49b6-adeb-5fa6d4b5889f,1507,16
329982200,1,Moishe,Whiteside,30/10/2021,16.08.2017,35OG7,9d65a9cf-b419-40bc-8938-5da7aded4837,3495,16
459572840,0,Ki,Rosiello,14/02/2021,23.03.1970,81WK9,b1163d63-d632-4995-b7b7-9589a258cd42,1370,15
149693849,1,Franzen,Huton,06/11/2019,12.11.1970,97NN8,531b0e7f-6acc-464b-89db-24fe10f5d7eb,386,17
563824855,2,Curt,Mungham,26/06/2021,30.08.1954,25GQ3,f0a55765-c8bf-4e5c-bba9-ae972939e819,2395,15
261079525,2,Ruthann,Trevethan,06/08/2021,22.11.1983,88XI2,552bc02a-cc04-425f-b67f-bc2f0b29f326,545,17
375038460,0,Birch,Peerman,15/10/2020,31.10.2019,45YF6,c4f4c45e-d072-46d3-8852-3a9029905013,1793,16
629472501,0,Durant,Patel,14/01/2021,29.06.2000,36QH3,c9bd3f17-ce07-4db7-b87c-ecef79589b46,3735,15
189390713,0,Pacorro,Khadir,30/10/2019,30.05.2009,21YW8,0127540f-6801-472d-82c3-b8f19507512e,2515,15
156658709,1,Davina,Mayzes,24/07/2021,08.02.2006,53PI6,7cac255a-3bd9-4800-b2d6-c98520179626,3362,16
792388723,1,Francesco,Beauchop,27/05/2020,31.10.2021,12QL3,bb8bf652-56ec-4d49-8b06-b84f3bfe4e78,2387,16
327262368,2,Welch,Ilyuchyov,29/05/2021,29.07.2002,42HU7,c501bb08-12ee-493a-be2e-1aeac64213b3,2252,17
831489268,0,Karissa,Biggadike,02/10/2021,13.10.1962,03NJ1,ce07b05b-6ef0-4cc6-8886-6c30f81b0349,1991,15
791605196,2,Carmine,Huyton,18/10/2020,17.06.2021,75LI5,f3129bf8-0622-4d4f-a8b0-b51ec3952a8f,2471,15
